movieId_x,title,genres,movieId_y,release_date,overview,popularity,vote_average,vote_count,tmdb_id,cast,director,content_raw,content
10,GoldenEye (1995),Action|Adventure|Thriller,10.0,11/16/1995,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",10.5017,6.895,4084.0,710.0,"Pierce Brosnan, Sean Bean, Izabella Scorupco",Martin Campbell,"GoldenEye (1995) Action Adventure Thriller Pierce_Brosnan Sean_Bean Izabella_Scorupco Martin_Campbell When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",goldeneye 1995 action adventure thriller pierce_brosnan sean_bean izabella_scorupco martin_campbell powerful satellite system fall hand alec trevelyan aka agent 006 former ally turned enemy james bond save world dangerous space weapon one short pulse could destroy earth bond square former compatriot also battle xenia onatopp assassin us pleasure ultimate weapon
11,"American President, The (1995)",Comedy|Drama|Romance,11.0,11/17/1995,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",3.1793,6.534,743.0,9087.0,"Michael Douglas, Annette Bening, Martin Sheen",Rob Reiner,"American President, The (1995) Comedy Drama Romance Michael_Douglas Annette_Bening Martin_Sheen Rob_Reiner Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",american president 1995 comedy drama romance michael_douglas annette_bening martin_sheen rob_reiner widowed president andrew shepherd one world powerful men anything want covets sydney ellen wade washington lobbyist shepherd attempt courting spark wild rumor decimate approval rating
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12.0,12/22/1995,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",2.5438,6.092,1025.0,12110.0,"Leslie Nielsen, Mel Brooks, Amy Yasbeck",Mel Brooks,"Dracula: Dead and Loving It (1995) Comedy Horror Leslie_Nielsen Mel_Brooks Amy_Yasbeck Mel_Brooks When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",dracula dead loving 1995 comedy horror leslie_nielsen mel_brooks amy_yasbeck mel_brooks lawyer show vampire doorstep fall prey charm join search fresh blood enter professor van helsing may one able vanquish count
13,Balto (1995),Adventure|Animation|Children,13.0,12/22/1995,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",1.7794,7.303,2098.0,21032.0,"Kevin Bacon, Bob Hoskins, Bridget Fonda",Simon Wells,"Balto (1995) Adventure Animation Children Kevin_Bacon Bob_Hoskins Bridget_Fonda Simon_Wells An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",balto 1995 adventure animation child kevin_bacon bob_hoskins bridget_fonda simon_wells outcast half wolf risk life prevent deadly epidemic ravaging nome alaska
14,Nixon (1995),Drama,14.0,12/22/1995,A look at President Richard M. Nixona man carrying the fate of the world on his shoulders while battling the self-destructive demands from withinspanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,3.8181,6.871,379.0,10858.0,"Anthony Hopkins, Joan Allen, Powers Boothe",Oliver Stone,Nixon (1995) Drama Anthony_Hopkins Joan_Allen Powers_Boothe Oliver_Stone A look at President Richard M. Nixona man carrying the fate of the world on his shoulders while battling the self-destructive demands from withinspanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,nixon 1995 drama anthony_hopkins joan_allen powers_boothe oliver_stone look president richard nixon man carrying fate world shoulder battling self destructive demand within spanning troubled boyhood california shocking watergate scandal would end presidency
15,Cutthroat Island (1995),Action|Adventure|Romance,15.0,12/22/1995,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",1.7769,5.8,581.0,1408.0,"Geena Davis, Matthew Modine, Frank Langella",Renny Harlin,"Cutthroat Island (1995) Action Adventure Romance Geena_Davis Matthew_Modine Frank_Langella Renny_Harlin Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",cutthroat island 1995 action adventure romance geena_davis matthew_modine frank_langella renny_harlin morgan adam slave william shaw quest recover three portion treasure map unfortunately final portion held murderous uncle dawg crew skeptical leadership ability must complete quest mutiny made yet difficult effort british crown end pirate raid
16,Casino (1995),Crime|Drama,16.0,11/22/1995,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",9.1255,7.997,6160.0,524.0,"Robert De Niro, Sharon Stone, Joe Pesci",Martin Scorsese,"Casino (1995) Crime Drama Robert_De_Niro Sharon_Stone Joe_Pesci Martin_Scorsese In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",casino 1995 crime drama robert_de_niro sharon_stone joe_pesci martin_scorsese early 1970s la vega sam ace rothstein get tapped boss head tangier casino first great success job year problem loose cannon enforcer nicky santoro hustler wife ginger con artist lester diamond handful corrupt politician put sam ever increasing danger
17,Sense and Sensibility (1995),Drama|Romance,17.0,2/24/2024,"A period adaptation of Jane Austen's Sense and Sensibility. After a change in circumstances, Marianne is torn between two men, while Elinor longs for a man beyond reach.",0.422,5.0,9.0,1221680.0,"Deborah Ayorinde, Dan Jeannotte, Bethany Antonia",Roger M. Bobb,"Sense and Sensibility (1995) Drama Romance Deborah_Ayorinde Dan_Jeannotte Bethany_Antonia Roger_M._Bobb A period adaptation of Jane Austen's Sense and Sensibility. After a change in circumstances, Marianne is torn between two men, while Elinor longs for a man beyond reach.",sense sensibility 1995 drama romance deborah_ayorinde dan_jeannotte bethany_antonia roger_m _bobb period adaptation jane austen sense sensibility change circumstance marianne torn two men elinor longs man beyond reach
18,Four Rooms (1995),Comedy,18.0,12/9/1995,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,2.7338,5.869,2722.0,5.0,"Tim Roth, Jennifer Beals, David Proval",Allison Anders,Four Rooms (1995) Comedy Tim_Roth Jennifer_Beals David_Proval Allison_Anders It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,four room 1995 comedy tim_roth jennifer_beals david_proval allison_anders ted bellhop first night job hotel unusual guest place outrageous predicament seems evening room service serving one unbelievable happening another
19,Ace Ventura: When Nature Calls (1995),Comedy,19.0,11/10/1995,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.4875,6.3,4317.0,9273.0,"Jim Carrey, Ian McNeice, Simon Callow",Steve Oedekerk,"Ace Ventura: When Nature Calls (1995) Comedy Jim_Carrey Ian_McNeice Simon_Callow Steve_Oedekerk Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",ace ventura nature call 1995 comedy jim_carrey ian_mcneice simon_callow steve_oedekerk summoned ashram tibet ace find perilous journey jungle africa find shikaka missing sacred animal friendly wachati tribe must accomplish wedding wachati princess prince warrior wachootoos ace fails result vicious tribal war
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,20.0,11/21/1995,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brothera fellow coptries to protect him.",3.8046,5.9,806.0,11517.0,"Wesley Snipes, Woody Harrelson, Jennifer Lopez",Joseph Ruben,"Money Train (1995) Action Comedy Crime Drama Thriller Wesley_Snipes Woody_Harrelson Jennifer_Lopez Joseph_Ruben When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brothera fellow coptries to protect him.",money train 1995 action comedy crime drama thriller wesley_snipes woody_harrelson jennifer_lopez joseph_ruben vengeful new york transit cop decides steal trainload subway fare foster brother fellow cop try protect
21,Get Shorty (1995),Comedy|Crime|Thriller,21.0,10/20/1995,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",3.4679,6.511,1120.0,8012.0,"John Travolta, Gene Hackman, Rene Russo",Barry Sonnenfeld,"Get Shorty (1995) Comedy Crime Thriller John_Travolta Gene_Hackman Rene_Russo Barry_Sonnenfeld Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",get shorty 1995 comedy crime thriller john_travolta gene_hackman rene_russo barry_sonnenfeld chili palmer miami mobster get sent collect bad debt harry zimm hollywood producer specializes cheesy horror film chili meet harry leading lady romantic spark fly pitching life story movie idea chili learns mobster hollywood producer really different
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,22.0,10/27/1995,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,8.7906,6.5,1130.0,1710.0,"Sigourney Weaver, Holly Hunter, Dermot Mulroney",Jon Amiel,Copycat (1995) Crime Drama Horror Mystery Thriller Sigourney_Weaver Holly_Hunter Dermot_Mulroney Jon_Amiel An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,copycat 1995 crime drama horror mystery thriller sigourney_weaver holly_hunter dermot_mulroney jon_amiel agoraphobic psychologist female detective must work together take serial killer copy serial killer past
23,Assassins (1995),Action|Crime|Thriller,23.0,8/12/2021,"True crime meets global spy thriller in this gripping account of the assassination of Kim Jong-nam, the half brother of the North Korean leader. The film follows the trial of the two female assassins, probing the question: were the women trained killers or innocent pawns of North Korea?",0.6087,6.81,29.0,653740.0,"Siti Aisyah, Doan Thi Huong, Hadi Azmi",Ryan White,"Assassins (1995) Action Crime Thriller Siti_Aisyah Doan_Thi_Huong Hadi_Azmi Ryan_White True crime meets global spy thriller in this gripping account of the assassination of Kim Jong-nam, the half brother of the North Korean leader. The film follows the trial of the two female assassins, probing the question: were the women trained killers or innocent pawns of North Korea?",assassin 1995 action crime thriller siti_aisyah doan_thi_huong hadi_azmi ryan_white true crime meet global spy thriller gripping account assassination kim jong nam half brother north korean leader film follows trial two female assassin probing question woman trained killer innocent pawn north korea
24,Powder (1995),Drama|Sci-Fi,24.0,10/27/1995,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",3.0911,7.001,686.0,12665.0,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen",Victor Salva,"Powder (1995) Drama Sci-Fi Mary_Steenburgen Sean_Patrick_Flanery Lance_Henriksen Victor_Salva Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",powder 1995 drama sci mary_steenburgen sean_patrick_flanery lance_henriksen victor_salva harassed classmate accept shocking appearance shy young man known powder struggle fit cruel taunt stop powder display mysterious power allows incredible thing phenomenon change life around way never could imagined
25,Leaving Las Vegas (1995),Drama|Romance,25.0,10/27/1995,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",5.9171,7.253,1532.0,451.0,"Nicolas Cage, Elisabeth Shue, Julian Sands",Mike Figgis,"Leaving Las Vegas (1995) Drama Romance Nicolas_Cage Elisabeth_Shue Julian_Sands Mike_Figgis Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",leaving la vega 1995 drama romance nicolas_cage elisabeth_shue julian_sands mike_figgis ben sanderson alcoholic hollywood screenwriter lost everything drinking arrives la vega drink death meet form uneasy friendship non interference pact prostitute serum
26,Othello (1995),Drama,26.0,12/23/2001,"With freshly rechristened characters and brand-new dialogue, this British TV production of Othello is a ""rethinking"" of Shakespeare's play, albeit still retaining the original's power and potency. The story is set in the London of the near future, a crime-ridden metropolis virtually torn apart by racial hostilities. By order of the Prime Minister, black police officer John Othello (Eamonn Walker) is promoted to Commissioner, a post dearly coveted by Othello's friend, mentor and fellow officer Ben Jago (Christopher Eccleston). Seething with jealousy, Jago contrives to discredit Othello in the eyes of the public, and to destroy John's interracial marriage to the lily-white Dessie (Keeley Hawes). Among those used as unwitting dupes to gain Jago's ends are Othello's trusted lieutenant, Michael Cass (Richard Coyle), scrupulously honest police constable Alan Roderick (Del Synnott), and Jago's own wife, Lulu (Rachael Stirling).",1.1866,6.6,10.0,116808.0,"Christopher Eccleston, Eamonn Walker, Keeley Hawes",Geoffrey Sax,"Othello (1995) Drama Christopher_Eccleston Eamonn_Walker Keeley_Hawes Geoffrey_Sax With freshly rechristened characters and brand-new dialogue, this British TV production of Othello is a ""rethinking"" of Shakespeare's play, albeit still retaining the original's power and potency. The story is set in the London of the near future, a crime-ridden metropolis virtually torn apart by racial hostilities. By order of the Prime Minister, black police officer John Othello (Eamonn Walker) is promoted to Commissioner, a post dearly coveted by Othello's friend, mentor and fellow officer Ben Jago (Christopher Eccleston). Seething with jealousy, Jago contrives to discredit Othello in the eyes of the public, and to destroy John's interracial marriage to the lily-white Dessie (Keeley Hawes). Among those used as unwitting dupes to gain Jago's ends are Othello's trusted lieutenant, Michael Cass (Richard Coyle), scrupulously honest police constable Alan Roderick (Del Synnott), and Jago's own wife, Lulu (Rachael Stirling).",othello 1995 drama christopher_eccleston eamonn_walker keeley_hawes geoffrey_sax freshly rechristened character brand new dialogue british production othello rethinking shakespeare play albeit still retaining original power potency story set london near future crime ridden metropolis virtually torn apart racial hostility order prime minister black police officer john othello eamonn walker promoted commissioner post dearly coveted othello friend mentor fellow officer ben jago christopher eccleston seething jealousy jago contrives discredit othello eye public destroy john interracial marriage lily white dessie keeley hawes among used unwitting dupe gain jago end othello trusted lieutenant michael cass richard coyle scrupulously honest police constable alan roderick del synnott jago wife lulu rachael stirling
27,Now and Then (1995),Children|Drama,27.0,10/8/2023,"While moving house, a middle-aged Muslim woman finds a box of old tapes filled with the memories of her husband's previous relationship and becomes increasingly obsessed.",0.0311,5.0,1.0,1165708.0,,Harris Alvi,"Now and Then (1995) Children Drama Harris_Alvi While moving house, a middle-aged Muslim woman finds a box of old tapes filled with the memories of her husband's previous relationship and becomes increasingly obsessed.",1995 child drama harris_alvi moving house middle aged muslim woman find box old tape filled memory husband previous relationship becomes increasingly obsessed
28,Persuasion (1995),Drama|Romance,28.0,5/1/1995,"Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.",1.9292,7.093,134.0,17015.0,"Amanda Root, Ciarán Hinds, Susan Fleetwood",Roger Michell,"Persuasion (1995) Drama Romance Amanda_Root Ciarán_Hinds Susan_Fleetwood Roger_Michell Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.",persuasion 1995 drama romance amanda_root ciar n_hinds susan_fleetwood roger_michell anne elliot daughter financially troubled aristocratic family persuaded break engagement frederick wentworth young sea captain meager mean year later money trouble force anne father rent family estate admiral croft anne thrown company frederick rich successful perhaps still love anne
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,29.0,5/17/1995,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",2.0955,7.249,1149.0,902.0,"Ron Perlman, Dominique Pinon, Judith Vittet",Jean-Pierre Jeunet,"City of Lost Children, The (Cité des enfants perdus, La) (1995) Adventure Drama Fantasy Mystery Sci-Fi Ron_Perlman Dominique_Pinon Judith_Vittet Jean-Pierre_Jeunet A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",city lost child cit de enfants perdus 1995 adventure drama fantasy mystery sci ron_perlman dominique_pinon judith_vittet jean pierre_jeunet scientist surrealist society kidnaps child steal dream hoping slow aging process
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,30.0,9/14/1995,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",2.2158,6.8,98.0,37557.0,"Gong Li, Li Baotian, Sun Chun",Zhang Yimou,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) Crime Drama Gong_Li Li_Baotian Sun_Chun Zhang_Yimou Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",shanghai triad yao yao yao dao waipo qiao 1995 crime drama gong_li li_baotian sun_chun zhang_yimou shanghai china 1930 young shuisheng arrives countryside uncle liushu put service bijou mistress laoda supreme bos tang triad constantly threatened enemy know lurking shadow
