movieId,title,release_date,overview,popularity,vote_average,vote_count,tmdb_id
11,"American President, The (1995)",11/17/1995,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",3.1793,6.534,743,9087
12,Dracula: Dead and Loving It (1995),12/22/1995,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",2.5438,6.092,1025,12110
13,Balto (1995),12/22/1995,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",1.7794,7.303,2098,21032
14,Nixon (1995),12/22/1995,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,3.8181,6.871,379,10858
15,Cutthroat Island (1995),12/22/1995,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",1.7769,5.8,581,1408
16,Casino (1995),11/22/1995,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",9.1255,7.997,6160,524
17,Sense and Sensibility (1995),2/24/2024,"A period adaptation of Jane Austen's Sense and Sensibility. After a change in circumstances, Marianne is torn between two men, while Elinor longs for a man beyond reach.",0.422,5,9,1221680
18,Four Rooms (1995),12/9/1995,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,2.7338,5.869,2722,5
19,Ace Ventura: When Nature Calls (1995),11/10/1995,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.4875,6.3,4317,9273
20,Money Train (1995),11/21/1995,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",3.8046,5.9,806,11517
21,Get Shorty (1995),10/20/1995,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",3.4679,6.511,1120,8012
22,Copycat (1995),10/27/1995,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,8.7906,6.5,1130,1710
23,Assassins (1995),8/12/2021,"True crime meets global spy thriller in this gripping account of the assassination of Kim Jong-nam, the half brother of the North Korean leader. The film follows the trial of the two female assassins, probing the question: were the women trained killers or innocent pawns of North Korea?",0.6087,6.81,29,653740
24,Powder (1995),10/27/1995,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",3.0911,7.001,686,12665
25,Leaving Las Vegas (1995),10/27/1995,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",5.9171,7.253,1532,451
26,Othello (1995),12/23/2001,"With freshly rechristened characters and brand-new dialogue, this British TV production of Othello is a ""rethinking"" of Shakespeare's play, albeit still retaining the original's power and potency. The story is set in the London of the near future, a crime-ridden metropolis virtually torn apart by racial hostilities. By order of the Prime Minister, black police officer John Othello (Eamonn Walker) is promoted to Commissioner, a post dearly coveted by Othello's friend, mentor and fellow officer Ben Jago (Christopher Eccleston). Seething with jealousy, Jago contrives to discredit Othello in the eyes of the public, and to destroy John's interracial marriage to the lily-white Dessie (Keeley Hawes). Among those used as unwitting dupes to gain Jago's ends are Othello's trusted lieutenant, Michael Cass (Richard Coyle), scrupulously honest police constable Alan Roderick (Del Synnott), and Jago's own wife, Lulu (Rachael Stirling).",1.1866,6.6,10,116808
27,Now and Then (1995),10/8/2023,"While moving house, a middle-aged Muslim woman finds a box of old tapes filled with the memories of her husband's previous relationship and becomes increasingly obsessed.",0.0311,5,1,1165708
28,Persuasion (1995),5/1/1995,"Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.",1.9292,7.093,134,17015
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",5/17/1995,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",2.0955,7.249,1149,902
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),9/14/1995,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",2.2158,6.8,98,37557
31,Dangerous Minds (1995),8/11/1995,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",3.6899,6.978,1194,9909
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),12/29/1995,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",14.9325,7.6,8678,63
34,Babe (1995),7/18/1995,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",5.1376,6.249,2993,9598
36,Dead Man Walking (1995),12/29/1995,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,1.9263,7.327,1412,687
38,It Takes Two (1995),11/17/1995,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",3.0677,6.511,924,33689
39,Clueless (1995),7/19/1995,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",10.319,7.27,4600,9603
40,"Cry, the Beloved Country (1995)",12/15/1995,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,2.3073,6.7,26,34615
41,Richard III (1995),1/1/1986,Richard of Gloucester uses murder and manipulation to claim England's throne.,0.1012,0,0,869261
42,Dead Presidents (1995),9/29/1995,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,2.2797,6.656,305,11443
43,Restoration (1995),12/29/1995,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",2.3516,6.052,124,35196
44,Mortal Kombat (1995),4/7/2021,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",11.0023,7.012,6050,460465
45,To Die For (1995),9/22/1995,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",2.541,6.6,827,577
46,How to Make an American Quilt (1995),10/6/1995,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",3.0895,6.412,188,11861
47,Seven (a.k.a. Se7en) (1995),5/1/1996,Seven short stories.,0.7181,9.5,1,475009
48,Pocahontas (1995),6/14/1995,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",9.5075,6.914,5862,10530
49,When Night Is Falling (1995),2/1/1995,"Camille is a professor at a Protestant college and is in a long-term relationship Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray.",2.4814,6.318,85,8391
50,"Usual Suspects, The (1995)",7/19/1995,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",12.5601,8.173,10840,629
52,Mighty Aphrodite (1995),9/13/1995,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",1.9531,6.728,712,11448
53,Lamerica (1994),9/9/1994,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",2.3402,7.1,60,49133
54,"Big Green, The (1995)",9/29/1995,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",1.1626,5.554,191,26441
55,Georgia (1995),5/19/1995,"Sadie looks up to her older sister Georgia, a successful folk singer. Unfortunately it is this very obsession — coupled with her self-destructive tendencies and rampant drug abuse — that keeps her spiraling down the drain.",3.1571,5.818,44,97406
57,Home for the Holidays (1995),12/18/2017,"""Home for the Holidays"" is the third stand-alone two hour Christmas special of the ""Murdoch Mysteries"" that first aired on December 18, 2017 on CBC, followed by a second airing on December 25, 2017 in Canada.  Murdoch and Ogden travel to Victoria, B.C. to visit Murdoch’s brother, RCMP officer Jasper Linney. There, they investigate a murder connected to an archaeologist Megan Byrne who has uncovered an ancient Indigenous settlement, leading to a trek through the rugged beauty of British Columbia and encounters with the Songhees and Haida nations.  Meanwhile, the Brackenreids are offered a surefire investment opportunity that may not be all it seems. At the Station House, Crabtree and Higgins prepare for a ski-chalet holiday in Vermont with their girlfriends Nina and Ruth, but learn it may be more dangerous than expected.",0.8787,8.571,7,555303
58,"Postman, The (Postino, Il) (1994)",10/15/2019,A happy go lucky postman stumbles upon an empty house.,0.1617,8,1,775180
60,"Indian in the Cupboard, The (1995)",7/14/1995,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,1.7725,6.464,650,11359
61,Eye for an Eye (1996),8/30/2019,"Mario, an exemplary man, lives in a village on the Galician coast. In the old people’s home, where he works as a nurse, everyone appreciates him. When the best known narco in the area, Antonio Padín, recently released from prison, enters the residence, Mario tries to make Antonio feel at home.  Now, Padín's two sons, Kike and Toño, are in charge of the family business. The failure of an operation will put Kike in jail and cause them to owe a large debt to a Colombian supplier. Toño will turn to the nurse to try to convince his father to assume the debt. But Mario has his own plans.",2.5204,6.676,315,574376
62,Mr. Holland's Opus (1995),12/29/1995,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",2.1412,6.959,431,2054
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1/12/1996,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",7.231,7,1398,10607
64,Two if by Sea (1996),1/12/1996,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",1.2662,4.969,96,19760
65,Bio-Dome (1996),1/12/1996,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",1.7332,4.5,381,9536
66,Lawnmower Man 2: Beyond Cyberspace (1996),1/12/1996,"After being rescued from the ruins of Virtual Space Industries, Jobe is rebuilt and reconnected to virtual reality by corporate mogul Jonathan Walker. Years later, teenage hacker Peter Parkette helps Jobe locate Benjamin Trace, the original creator of virtual reality, only to uncover Jobe’s plan to launch a new world order using Walker’s tech. Now, Peter, Trace, Cori, and a band of runaways must stop Jobe and Walker before they enslave humanity through cyberspace.",3.9398,3.3,161,11525
68,French Twist (Gazon maudit) (1995),1/18/1995,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",2.2192,6.1,313,4482
69,Friday (1995),4/26/1995,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",5.8223,7.1,1907,10634
70,From Dusk Till Dawn (1996),1/19/1996,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.",9.9315,7.027,6175,755
71,Fair Game (1995),11/3/1995,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",2.2816,5.1,315,11859
72,Kicking and Screaming (1995),10/6/1995,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",1.9974,6.171,222,28387
73,"Misérables, Les (1995)",12/27/1978,"In 19th century France, Jean Valjean, a man imprisoned for stealing bread, must flee a relentless policeman named Javert. The pursuit consumes both men's lives, and soon Valjean finds himself in the midst of the student revolutions in France.",3.3156,7.132,34,4479
74,Bed of Roses (1996),1/26/1996,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",1.1742,5.86,118,20927
75,Big Bully (1996),1/26/1996,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",1.0748,4.5,75,36929
76,Screamers (1995),12/8/2006,Internationally known director Carla Garapedian follows the rock band System of a Down as they tour Europe and the US pointing out the horrors of modern genocide that began in Armenia in 1915 up though Darfur today.,0.4903,4.2,5,45057
77,Nico Icon (1995),9/8/1995,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",0.94,7.5,10,124626
78,"Crossing Guard, The (1995)",9/3/1975,"Based on the idea by Roland Topor (screenwriter of Roman Polanski's The Tenant), this very curious completely silent melodrama tells the story of Mona, who has left her father, the railway gatekeeper, after being raped on the train track. She is kidnapped and taken to a Parisian whorehouse. However, a disinherited prince, Dudu who tries to rescue her, is himself kidnapped and forced to serve as a male prostitute. The two captives meet there and fall in love. They are taken away by different rich people - he to an Arab ""harem,"" she to a surgeon's home.",0.7029,0,0,328753
79,"Juror, The (1996)",4/18/1962,"In a moment of madness a middle-aged, married and respectable pharmacist kills a young woman who is sun-bathing by a lake. Unable to take in what he has done, he flees from the scene of the crime and behaves as if nothing has happened. Eventually her boyfriend is charged with the crime and, in a strange twist of fate, the killer finds himself serving on the jury.",0.4207,6.877,61,21070
80,"White Balloon, The (Badkonake sefid) (1995)",1/2/1995,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,0.9587,7.4,97,46785
81,Things to Do in Denver When You're Dead (1995),12/1/1995,Five different criminals face imminent death after botching a job quite badly.,1.3413,6.436,401,400
82,Antonia's Line (Antonia) (1995),9/21/1995,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",0.9697,7.034,131,880
83,Once Upon a Time... When We Were Colored (1995),1/26/1996,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,0.9028,4.2,4,146599
85,Angels and Insects (1995),9/10/1995,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",1.7462,6.26,52,8447
86,White Squall (1996),2/2/1996,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm.",1.5791,6.29,378,10534
87,Dunston Checks In (1996),1/12/1996,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!",1.5132,5.374,235,17414
88,Black Sheep (1996),5/1/2018,"After the high-profile killing of Damilola Taylor, Cornelius' family move out of London. But when they discover their new town is run by racists, Cornelius takes a drastic step to survive.",0.6182,7.3,50,543803
89,Nick of Time (1995),11/22/1995,An ordinary man is suddenly forced into a plot to kill a politician in exchange for his kidnapped daughter's freedom.,3.6619,6.2,756,2086
92,Mary Reilly (1996),2/23/1996,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",1.5114,5.786,329,9095
93,Vampire in Brooklyn (1995),10/26/1995,"Detective Rita Veder is assigned to a baffling serial murder case. After examining the crime scene — a corpse-filled ship found adrift at sea — she meets Maximilian, a smooth-talking Caribbean playboy determined to romance her.",2.2304,5.094,601,12158
94,Beautiful Girls (1996),2/9/1996,"During a snowy winter in the small fictional town of Knight's Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires.",1.034,6.641,375,9283
95,Broken Arrow (1996),1/1/2001,"Since 1950, there have been 32 nuclear weapon accidents, known as ""Broken Arrows."" A Broken Arrow is defined as an unexpected event involving nuclear weapons that result in the accidental launching, firing, detonating, theft or loss of the weapon. To date, six nuclear weapons have been lost and never recovered.Now, recently declassified documents reveal the history and secrecy surrounding the events known as ""Broken Arrows"". There have been 32 nuclear weapon accidents since 1950. Six of these nuclear weapons have been lost and never recovered. What does this say about our defense system? What does this mean to our threatened environment? What do we do to rectify these monumental ""mistakes""? Using spectacular special effects, newly uncovered and recently declassified footage, filmmaker Peter Kuran explores the accidents, incidents and exercises in the secret world of nuclear weapons.",0.1223,3.8,2,54071
96,In the Bleak Midwinter (1995),9/29/1995,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent Margaretta. As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis (that is, they may not get paid anything) he cannot expect - and does not get - the cream of the cream. But although they all bring their own problems and foibles along, something bigger starts to emerge in the perhaps aptly named village of Hope.",2.2475,7.085,41,40154
97,"Hate (Haine, La) (1995)",11/11/2020,"Humza is desperately attempting to turn his back on the violence in his life. Alas, in a society where hate is omnipresent, there’s no escape.",0.8605,5.813,8,763233
99,Heidi Fleiss: Hollywood Madam (1995),12/27/1995,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend, Ivan Nagy, who introduced her to Alex. Alex and Nagy don't like each other, so the crew shuttles between them with ""she said"" and ""he said."" When they finally interview Fleiss, they spend their time reciting what Alex and Nagy have had to say and asking her reaction.",0.0907,6.6,14,63076
100,City Hall (1996),2/16/1996,"The accidental shooting of a boy in New York City leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",1.53,5.9,297,11062
101,Bottle Rocket (1996),,"Peter sends a bottle rocket into space and tells his friend Thomas, to their surprise, the bottle goes to space. The film then follows their attempt to reclaim the bottle rocket to avoid federal prison.",0.0168,0,0,1169787
102,Mr. Wrong (1996),2/16/1996,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature.",2.9492,3.9,60,47475
103,Unforgettable (1996),8/16/2010,"Brad Williams is only the second person ever studied by neurologists for the newly-identified syndrome called ""hyperthymesia"", an extremely detailed form of autobiographical memory for events both global and personal, monumental and trivial. UNFORGETTABLE follows Brad's adventures as his rare mental gifts vault him from small-town anonymity to sudden mid-life notoriety.",0.138,5,1,286800
104,Happy Gilmore (1996),2/16/1996,"Failed hockey player-turned-golf whiz Happy Gilmore — whose unconventional approach and antics on the green courts the ire of rival Shooter McGavin — is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",11.3169,6.67,3072,9614
105,"Bridges of Madison County, The (1995)",6/2/1995,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,6.226,7.72,2246,688
106,Nobody Loves Me (Keiner liebt mich) (1994),1/1/2017,"High in Lake Titicaca in the Andes Mountains, a large and homely frog once thrived, a species endemic to altitude and cold water named Telmatobius culeus. But over-collecting for human consumption, pollution and predation by introduced species have devastated the Titicaca water frog — which has a hard enough life as is, given its resemblance to a certain human sexual organ and the many unflattering nicknames that has spawned. In 2016, 10,000 frogs died all at once, and it wasn’t the first mass die-off this critically endangered species has experienced. This short film from The Redford Center shines a new light on these underappreciated animals, showing their amazing adaptability, crucial role in the aquatic ecosystem and what’s at stake — unless humans intervene.",0.0071,0,0,483879
107,Muppet Treasure Island (1996),2/14/1996,"Muppet Sing Alongs: Muppet Treasure Island is a 1996 video produced just before the release of the feature film Muppet Treasure Island. Kermit is joined by Polly Lobster, Clueless Morgan, Mad Monty and the other pirates from Muppet Treasure Island in this half hour of pirate songs.",0.1437,6,1,698609
108,Catwalk (1996),1/1/1972,"""The film stars Bone, originally named Basil Catbone, a creature who survived several life threatening events to die at the age of 17. He was one of my mentors and a cherished friend. When this film was shown in Europe many years ago, someone called him the 'Charles Bronson of cats'. Dogs feared him, but with humans he was gentle. [...] A little girl awaits a school bus. A spider awaits its prey. Through it all, Bone, a feline Zen master, walks stolidly ahead, implying, perhaps, that there might be a means to resolve this, and we see him choose to balance himself and move on down the line, walking the path of the middle way."" –Abbott Meader",0.0071,6,1,636379
